"geneID","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","Count","SYMBOL"
"121643/6656/54567/2736/2737/58524/8022","GO:0060581","cell fate commitment involved in pattern specification","7/4017","11/18434",0.636363636363636,2.92027066784348,3.36271524533365,0.0033119415010646,0.0281724644141191,0.0221580629851372,7,NA
"121643/6656/54567/2736/2737/6608/6469/58524/8022","GO:0021513","spinal cord dorsal/ventral patterning","9/4017","16/18434",0.5625,2.58131067961165,3.34016129492526,0.00277479312261703,0.0246430966308191,0.0193821626417905,9,NA
"126755/2048/2946/5174/1520/481/219527/51083/486/54997/9472/342667/9001/8811/27347/10110/57158/6769/729230/483/9370/10345/9465/6446/1080/389816/65267","GO:0032411","positive regulation of transporter activity","27/4017","75/18434",0.36,1.65203883495146,2.98669628475299,0.00340180825714517,0.0286271696333653,0.022515695414435,27,NA
"126755/2048/2946/5174/1520/6375/481/57165/6000/53828/3784/2147/219527/187/5024/51083/486/3747/54997/4842/5319/9472/623/5023/342667/9001/8811/9002/3783/3973/27347/57158/1908/4923/6769/729230/483/3627/6622/3779/1812/10345/9465/387129/857/1080/4986/389816/65267/9843/2833/5354/2316/2539","GO:0034767","positive regulation of monoatomic ion transmembrane transport","54/4017","151/18434",0.357615894039735,1.64109818041535,4.17542576209913,5.68758539859345e-05,0.00115819920844085,0.000910940932704016,54,NA
"126755/2048/2946/5174/1520/6375/481/57165/6000/53828/6865/150/3784/6833/2147/219527/187/5024/1128/51083/486/6330/5318/1272/3747/54997/4842/5319/9472/3958/623/5652/9914/162514/5023/6532/342667/9001/3060/8811/9002/3783/3973/2641/27347/57158/1908/4923/6769/729230/776/846/4638/483/5028/3627/6622/815/3779/1482/1812/10345/9465/387129/857/1080/3952/4986/389816/65267/9843/2833/5354/2316/2539","GO:0043270","positive regulation of monoatomic ion transport","75/4017","209/18434",0.358851674641148,1.64676917359595,4.96363873540187,1.99859200452614e-06,8.22277853290755e-05,6.46733782202194e-05,75,NA
"126755/2048/2946/845/5174/1520/477/6375/481/493/57165/183/6262/6000/53828/255022/150/3784/796/3767/2147/219527/187/5024/406967/51083/10008/486/6330/3758/2904/3747/54997/4842/5319/5587/9472/623/93107/5023/2256/100134444/342667/9001/65266/1394/3773/8811/2922/255057/79041/9002/495/7040/3783/2906/3270/59285/3790/3973/274/3760/27347/2859/5621/57158/3755/1908/4923/9992/3772/3761/6769/729230/776/483/3627/6622/3779/1812/83795/5350/10345/9465/27075/387129/781/2056/5294/857/1080/1804/4986/4067/3788/117531/389816/65267/9843/2833/5354/2316/2539","GO:0034765","regulation of monoatomic ion transmembrane transport","103/4017","344/18434",0.299418604651163,1.37403100775194,3.69640052638728,0.000225715775165102,0.00348247195969014,0.00273901607940681,103,NA
"126755/2048/4985/79570/2946/845/5174/1520/477/6375/481/493/57165/183/6262/6000/53828/6865/255022/150/196051/3784/796/3767/6833/2147/29763/219527/187/5024/1128/406967/51083/10008/1813/486/6330/3758/2904/5318/1272/3747/54997/4842/5319/3356/5587/9472/3958/623/5652/766/93107/9914/162514/5023/2256/100134444/6532/342667/9001/3060/65266/1394/1636/3773/8811/5205/2922/116444/255057/79041/9002/9454/495/7040/3783/2906/3270/59285/3754/3790/3973/274/3760/2641/27347/5270/2859/5621/57158/6406/3755/1908/4923/9992/3772/3761/6769/729230/776/846/4638/483/5028/3627/6622/6690/154/815/3779/1482/8614/1812/83795/3351/5350/10345/154215/9465/27075/387129/816/781/5243/2056/5294/857/1080/3952/4846/1804/4986/4067/760/3788/117531/389816/65267/9843/2833/5354/2564/2316/2539","GO:0043269","regulation of monoatomic ion transport","145/4017","471/18434",0.307855626326964,1.41274847291791,4.78980653225829,2.63073978090053e-06,9.94419637180399e-05,7.8212585986115e-05,145,NA
"126755/2946/5174/1520/6375/481/57165/6000/53828/3784/2147/219527/187/5024/51083/486/3747/54997/4842/5319/9472/623/5023/342667/9001/8811/9002/3783/3973/57158/1908/4923/6769/483/3627/6622/3779/1812/10345/9465/387129/857/4986/389816/65267/9843/2833/5354/2316/2539","GO:1904064","positive regulation of cation transmembrane transport","50/4017","141/18434",0.354609929078014,1.62730381693406,3.94690340166995,0.000133699490732548,0.00227138910098441,0.00178648136788996,50,NA
"126755/2946/845/5174/1520/477/6375/481/493/57165/183/6262/6000/53828/150/3784/796/2147/219527/187/5024/406967/51083/10008/486/6330/2904/3747/54997/4842/5319/5587/9472/623/93107/5023/2256/342667/9001/65266/1394/8811/2922/255057/79041/9002/495/7040/3783/2906/3270/59285/3790/3973/274/27347/2859/5621/57158/3755/1908/4923/9992/6769/776/483/3627/6622/3779/1812/83795/5350/10345/9465/27075/387129/781/2056/5294/857/1804/4986/4067/3788/117531/389816/65267/9843/2833/5354/2316/2539","GO:1904062","regulation of monoatomic cation transmembrane transport","92/4017","310/18434",0.296774193548387,1.36189581375926,3.39194543863489,0.000651160008881333,0.00807011420843095,0.00634726505637348,92,NA
"126755/3744/3738/845/477/480/481/284525/3756/6000/53828/3778/150/29850/3784/3767/6833/57084/3739/219527/50801/10089/51083/10008/1813/486/3758/3736/3747/4842/479/3356/496/9472/6557/10021/1258/93107/100134444/23415/3060/65266/81033/3773/8811/2922/610/79041/3249/495/478/3783/3743/3754/3790/3777/389015/6549/274/3760/90134/27347/5621/60598/3755/1908/3785/9992/3772/3761/131096/776/483/285195/10242/6550/10723/6507/6558/3779/1812/8645/89822/83795/56479/9465/857/3751/4846/1804/157855/4986/9312/3788/51305/25769/57582/389816/23439/2316","GO:0006813","potassium ion transport","100/4017","245/18434",0.408163265306122,1.87305990357308,7.26163059147852,1.1984418937101e-11,2.19641714338142e-09,1.72751480627622e-09,100,NA
